attack,switches,rate,image,label,score
chi,,,26159.png,cover,0.0
rs,,,26159.png,cover,-0.007423
spa,,,26159.png,cover,0.008002
chi,,,26366.png,cover,0.0
rs,,,26366.png,cover,0.296502
spa,,,26366.png,cover,0.199737
chi,,,27461.png,cover,0.0
rs,,,27461.png,cover,0.162641
spa,,,27461.png,cover,0.146488
chi,,,27608.png,cover,0.0
rs,,,27608.png,cover,-0.000168
spa,,,27608.png,cover,-0.00285
chi,,,27654.png,cover,0.0
rs,,,27654.png,cover,-0.003818
spa,,,27654.png,cover,0.000111
chi,,,27761.png,cover,0.0
rs,,,27761.png,cover,0.038333
spa,,,27761.png,cover,0.032599
chi,,,27939.png,cover,0.0
rs,,,27939.png,cover,0.31615
spa,,,27939.png,cover,0.215174
chi,,,28535.png,cover,0.000718
rs,,,28535.png,cover,0.003257
spa,,,28535.png,cover,-0.005324
chi,,,28747.png,cover,0.0
rs,,,28747.png,cover,0.185348
spa,,,28747.png,cover,0.167801
chi,,,28865.png,cover,0.0
rs,,,28865.png,cover,0.005717
spa,,,28865.png,cover,0.004958
chi,,,28894.png,cover,0.997334
rs,,,28894.png,cover,0.001964
spa,,,28894.png,cover,-0.02344
chi,,,29257.png,cover,0.999969
rs,,,29257.png,cover,0.014535
spa,,,29257.png,cover,0.037796
chi,,,29452.png,cover,0.0
rs,,,29452.png,cover,0.052811
spa,,,29452.png,cover,0.019606
chi,,,29872.png,cover,0.188993
rs,,,29872.png,cover,0.035214
spa,,,29872.png,cover,0.053445
chi,,,30008.png,cover,0.0
rs,,,30008.png,cover,-0.025786
spa,,,30008.png,cover,0.011949
chi,,,30022.png,cover,0.981485
rs,,,30022.png,cover,0.011374
spa,,,30022.png,cover,0.015776
chi,,,30496.png,cover,0.317655
rs,,,30496.png,cover,-0.013001
spa,,,30496.png,cover,-0.011077
chi,,,31030.png,cover,0.999883
rs,,,31030.png,cover,0.00211
spa,,,31030.png,cover,-0.0189
chi,,,31286.png,cover,0.0
rs,,,31286.png,cover,0.059278
spa,,,31286.png,cover,0.017841
chi,,,31386.png,cover,0.0
rs,,,31386.png,cover,-0.020492
spa,,,31386.png,cover,0.011266
chi,,,32528.png,cover,0.999996
rs,,,32528.png,cover,0.008838
spa,,,32528.png,cover,-0.047638
chi,,,32707.png,cover,0.0
rs,,,32707.png,cover,0.507047
spa,,,32707.png,cover,0.23835
chi,,,32954.png,cover,1.0
rs,,,32954.png,cover,0.035947
spa,,,32954.png,cover,0.056952
chi,,,34238.png,cover,1.0
rs,,,34238.png,cover,0.013208
spa,,,34238.png,cover,0.017948
chi,,,34439.png,cover,0.814735
rs,,,34439.png,cover,0.004807
spa,,,34439.png,cover,-0.006814
chi,,,34523.png,cover,1.0
rs,,,34523.png,cover,0.030186
spa,,,34523.png,cover,-0.028914
chi,,,34719.png,cover,0.0
rs,,,34719.png,cover,0.01146
spa,,,34719.png,cover,-0.022678
chi,,,34761.png,cover,0.0
rs,,,34761.png,cover,-0.002487
spa,,,34761.png,cover,-0.002686
chi,,,34796.png,cover,0.0
rs,,,34796.png,cover,0.355327
spa,,,34796.png,cover,0.359525
chi,,,34971.png,cover,0.0
rs,,,34971.png,cover,-0.002839
spa,,,34971.png,cover,-0.004767
chi,,,34974.png,cover,0.0
rs,,,34974.png,cover,0.335783
spa,,,34974.png,cover,0.320033
chi,,,34994.png,cover,0.0
rs,,,34994.png,cover,-0.010074
spa,,,34994.png,cover,0.000511
chi,,,35698.png,cover,0.0
rs,,,35698.png,cover,-0.044945
spa,,,35698.png,cover,-0.01587
chi,,,36435.png,cover,2.9e-05
rs,,,36435.png,cover,-0.005948
spa,,,36435.png,cover,0.022212
chi,,,36586.png,cover,0.0
rs,,,36586.png,cover,0.009877
spa,,,36586.png,cover,0.016068
chi,,,37197.png,cover,0.0
rs,,,37197.png,cover,-0.017181
spa,,,37197.png,cover,-0.043941
chi,,,37389.png,cover,2.1e-05
rs,,,37389.png,cover,0.033586
spa,,,37389.png,cover,0.007438
chi,,,38428.png,cover,0.0
rs,,,38428.png,cover,-0.009748
spa,,,38428.png,cover,-0.004353
chi,,,38470.png,cover,1.0
rs,,,38470.png,cover,0.019249
spa,,,38470.png,cover,-0.059133
chi,,,38891.png,cover,0.0
rs,,,38891.png,cover,0.232638
spa,,,38891.png,cover,0.215181
chi,,,39118.png,cover,0.0
rs,,,39118.png,cover,0.009149
spa,,,39118.png,cover,0.002595
chi,,,39241.png,cover,0.485376
rs,,,39241.png,cover,-0.006509
spa,,,39241.png,cover,-0.01768
chi,,,39652.png,cover,0.0
rs,,,39652.png,cover,-0.008072
spa,,,39652.png,cover,-0.006435
chi,,,39830.png,cover,0.002312
rs,,,39830.png,cover,-0.00667
spa,,,39830.png,cover,-0.067623
chi,,,40405.png,cover,0.583274
rs,,,40405.png,cover,0.008463
spa,,,40405.png,cover,-0.006209
chi,,,40688.png,cover,0.0
rs,,,40688.png,cover,-0.003981
spa,,,40688.png,cover,-0.002389
chi,,,40858.png,cover,0.999992
rs,,,40858.png,cover,0.135188
spa,,,40858.png,cover,0.134089
chi,,,41105.png,cover,0.99032
rs,,,41105.png,cover,0.00251
spa,,,41105.png,cover,0.017967
chi,,,41115.png,cover,0.060366
rs,,,41115.png,cover,-0.00933
spa,,,41115.png,cover,-0.018189
chi,,,41146.png,cover,0.999995
rs,,,41146.png,cover,-0.002984
spa,,,41146.png,cover,-0.013295
chi,,,41181.png,cover,0.983764
rs,,,41181.png,cover,0.034009
spa,,,41181.png,cover,-0.025711
chi,,,41246.png,cover,3e-06
rs,,,41246.png,cover,-0.035796
spa,,,41246.png,cover,-0.009046
chi,,,41468.png,cover,0.0
rs,,,41468.png,cover,2.188382
spa,,,41468.png,cover,0.545251
chi,,,42488.png,cover,0.0
rs,,,42488.png,cover,0.049189
spa,,,42488.png,cover,0.055968
chi,,,42505.png,cover,0.010969
rs,,,42505.png,cover,-0.020077
spa,,,42505.png,cover,-0.023379
chi,,,42754.png,cover,0.0
rs,,,42754.png,cover,-0.002725
spa,,,42754.png,cover,-0.008518
chi,,,43280.png,cover,1.0
rs,,,43280.png,cover,0.086011
spa,,,43280.png,cover,0.10066
chi,,,43405.png,cover,0.0
rs,,,43405.png,cover,0.092505
spa,,,43405.png,cover,0.081362
chi,,,43934.png,cover,0.0
rs,,,43934.png,cover,0.001024
spa,,,43934.png,cover,0.006413
chi,,,44588.png,cover,0.998963
rs,,,44588.png,cover,0.037529
spa,,,44588.png,cover,0.043244
chi,,,44598.png,cover,0.0
rs,,,44598.png,cover,0.024895
spa,,,44598.png,cover,0.007626
chi,,,45310.png,cover,0.0
rs,,,45310.png,cover,-0.008149
spa,,,45310.png,cover,0.013732
chi,,,45746.png,cover,0.0
rs,,,45746.png,cover,0.002402
spa,,,45746.png,cover,0.010708
