version,family,rate,attack,metric,value,eval_set
p1,ours,0.1,stegexpose,auc,0.535264,test250
p1,ours,0.1,stegexpose,pe,0.46,test250
p1,ours,0.25,stegexpose,auc,0.587616,test250
p1,ours,0.25,stegexpose,pe,0.41,test250
p1,ours,0.5,stegexpose,auc,0.623184,test250
p1,ours,0.5,stegexpose,pe,0.356,test250
p1,ours,1.0,stegexpose,auc,0.558352,test250
p1,ours,1.0,stegexpose,pe,0.426,test250
p2,ours,0.05,chi2,auc,0.490192,test250
p2,ours,0.05,chi2,auc_b,0.465072,test250
p2,ours,0.05,chi2,pe,0.462,test250
p2,ours,0.1,chi2,auc,0.460992,test250
p2,ours,0.1,chi2,auc_b,0.396048,test250
p2,ours,0.1,chi2,pe,0.42,test250
p2,ours,0.25,chi2,auc,0.357744,test250
p2,ours,0.25,chi2,auc_b,0.228272,test250
p2,ours,0.25,chi2,pe,0.308,test250
p2,ours,0.5,chi2,auc,0.23472,test250
p2,ours,0.5,chi2,auc_b,0.111536,test250
p2,ours,0.5,chi2,pe,0.162,test250
p2,ours,1.0,chi2,auc,0.092,test250
p2,ours,1.0,chi2,auc_b,0.032,test250
p2,ours,1.0,chi2,pe,0.092,test250
p2,ours,0.05,imperceptibility,mse_global,0.024932,
p2,ours,0.05,imperceptibility,psnr_global,64.163679,
p2,ours,0.05,imperceptibility,psnr_region,51.136381,
p2,ours,0.05,imperceptibility,roundtrip_fail,0.0,
p2,ours,0.05,imperceptibility,ssim_global,0.999872,
p2,ours,0.1,imperceptibility,mse_global,0.04984,
p2,ours,0.1,imperceptibility,psnr_global,61.15529,
p2,ours,0.1,imperceptibility,psnr_region,51.138292,
p2,ours,0.1,imperceptibility,roundtrip_fail,0.0,
p2,ours,0.1,imperceptibility,ssim_global,0.99971,
p2,ours,0.25,imperceptibility,mse_global,0.124638,
p2,ours,0.25,imperceptibility,psnr_global,57.174517,
p2,ours,0.25,imperceptibility,psnr_region,51.13692,
p2,ours,0.25,imperceptibility,roundtrip_fail,0.0,
p2,ours,0.25,imperceptibility,ssim_global,0.999244,
p2,ours,0.5,imperceptibility,mse_global,0.24931,
p2,ours,0.5,imperceptibility,psnr_global,54.163564,
p2,ours,0.5,imperceptibility,psnr_region,51.136266,
p2,ours,0.5,imperceptibility,roundtrip_fail,0.0,
p2,ours,0.5,imperceptibility,ssim_global,0.998503,
p2,ours,1.0,imperceptibility,mse_global,0.498656,
p2,ours,1.0,imperceptibility,psnr_global,51.152939,
p2,ours,1.0,imperceptibility,psnr_region,51.135941,
p2,ours,1.0,imperceptibility,roundtrip_fail,0.0,
p2,ours,1.0,imperceptibility,ssim_global,0.997031,
p2,ours,0.05,ml,auc,0.599755,cv10
p2,ours,0.05,ml,pe,0.4148,cv10
p2,ours,0.1,ml,auc,0.700834,cv10
p2,ours,0.1,ml,pe,0.3424,cv10
p2,ours,0.25,ml,auc,0.872318,cv10
p2,ours,0.25,ml,pe,0.2016,cv10
p2,ours,0.5,ml,auc,0.96677,cv10
p2,ours,0.5,ml,pe,0.0886,cv10
p2,ours,1.0,ml,auc,0.998466,cv10
p2,ours,1.0,ml,pe,0.0132,cv10
p2,ours,0.05,rs,auc,0.545472,test250
p2,ours,0.05,rs,bias,0.037117,test250
p2,ours,0.05,rs,pe,0.442,test250
p2,ours,0.05,rs,phat,0.087117,test250
p2,ours,0.1,rs,auc,0.584208,test250
p2,ours,0.1,rs,bias,-0.013576,test250
p2,ours,0.1,rs,pe,0.396,test250
p2,ours,0.1,rs,phat,0.086424,test250
p2,ours,0.25,rs,auc,0.685808,test250
p2,ours,0.25,rs,bias,-0.154756,test250
p2,ours,0.25,rs,pe,0.298,test250
p2,ours,0.25,rs,phat,0.095244,test250
p2,ours,0.5,rs,auc,0.765248,test250
p2,ours,0.5,rs,bias,-0.391629,test250
p2,ours,0.5,rs,pe,0.22,test250
p2,ours,0.5,rs,phat,0.108371,test250
p2,ours,1.0,rs,auc,0.857024,test250
p2,ours,1.0,rs,bias,-0.852427,test250
p2,ours,1.0,rs,pe,0.126,test250
p2,ours,1.0,rs,phat,0.147573,test250
p2,ours,0.05,spa,auc,0.54224,test250
p2,ours,0.05,spa,bias,-0.003425,test250
p2,ours,0.05,spa,pe,0.446,test250
p2,ours,0.05,spa,phat,0.046575,test250
p2,ours,0.1,spa,auc,0.587216,test250
p2,ours,0.1,spa,bias,-0.049438,test250
p2,ours,0.1,spa,pe,0.4,test250
p2,ours,0.1,spa,phat,0.050562,test250
p2,ours,0.25,spa,auc,0.692768,test250
p2,ours,0.25,spa,bias,-0.183851,test250
p2,ours,0.25,spa,pe,0.3,test250
p2,ours,0.25,spa,phat,0.066149,test250
p2,ours,0.5,spa,auc,0.774992,test250
p2,ours,0.5,spa,bias,-0.409543,test250
p2,ours,0.5,spa,pe,0.214,test250
p2,ours,0.5,spa,phat,0.090457,test250
p2,ours,1.0,spa,auc,0.857648,test250
p2,ours,1.0,spa,bias,-0.849571,test250
p2,ours,1.0,spa,pe,0.142,test250
p2,ours,1.0,spa,phat,0.150429,test250
p2,ours,0.05,stegexpose,auc,0.517632,test250
